preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
1850,2,1,0,0,0,40.0
7500,4,2,1,2,0,180.0
1300,2,1,0,0,0,40.0
7900,3,1,3,4,0,302.0
7000,3,4,1,1,0,139.0
16100,4,6,4,5,0,370.0
3200,1,1,1,1,1,40.0
6650,2,1,0,2,1,75.0
3050,1,1,1,1,1,29.0
3100,1,1,1,1,1,30.0
3837,2,2,1,2,1,56.0
5000,1,1,1,1,1,45.0
14775,4,3,1,4,1,286.0
4517,1,1,0,0,1,16.0
3300,1,1,0,1,1,35.0
3100,1,1,1,1,1,40.0
15000,3,1,3,2,0,181.0
1530,1,1,0,0,0,40.0
4161,3,2,0,1,0,100.0
10300,3,2,1,2,0,200.0
2000,2,1,0,1,0,48.0
3000,1,1,0,1,1,37.0
1661,1,1,0,0,0,46.0
3780,1,1,0,1,1,27.0
2940,1,1,1,1,0,32.0
12350,3,5,3,3,0,156.0
7580,1,2,1,2,1,125.0
4800,2,1,0,1,1,48.0
1080,1,1,0,0,0,30.0
9981,2,2,1,1,1,70.0
5410,1,1,0,1,1,42.0
700,1,1,0,0,0,10.0
4825,1,1,0,1,1,45.0
9500,1,1,1,1,1,56.0
5900,4,4,2,2,0,135.0
3220,1,1,0,1,1,35.0
3300,3,2,0,1,0,170.0
4690,1,1,0,1,0,35.0
2168,1,1,0,0,1,22.0
3300,1,1,1,1,1,55.0
5250,2,2,1,1,0,66.0
2100,2,1,0,0,0,49.0
2395,3,1,0,1,0,68.0
4200,1,1,1,1,1,20.0
12500,7,1,4,5,0,632.0
3000,3,2,1,2,0,85.0
750,1,1,1,0,0,12.0
1260,1,1,0,0,0,35.0
10000,3,3,1,1,0,240.0
4750,1,1,1,1,1,38.0
3010,1,1,1,0,1,31.0
3975,3,1,0,0,0,80.0
3900,1,1,1,1,1,41.0
2954,1,1,0,0,0,57.0
3100,1,1,1,1,1,45.0
9081,4,5,2,3,0,232.0
11100,4,3,1,2,0,228.0
1830,1,1,0,0,1,50.0
4955,1,1,0,1,1,45.0
20600,3,1,1,1,0,178.0
2800,2,2,0,3,0,140.0
3898,1,1,0,1,1,47.0
5280,4,3,0,0,0,157.0
3032,1,1,0,1,0,40.0
4700,4,3,2,2,0,162.0
9200,3,3,1,2,0,120.0
5350,2,3,1,1,0,127.0
1280,1,1,0,0,0,23.0
8300,3,4,3,3,1,172.0
3650,2,1,0,1,1,45.0
5500,3,2,0,2,0,125.0
4950,1,1,0,1,1,42.0
2900,2,2,0,0,0,56.0
2810,1,1,1,1,1,36.0
1320,1,1,0,1,0,42.0
3300,1,1,1,0,1,28.0
800,1,1,0,0,0,35.0
6350,3,4,1,2,0,113.0
2200,1,1,0,0,1,30.0
5700,3,3,1,2,0,98.0
3200,1,1,1,1,1,34.0
3645,2,2,1,1,0,50.0
10233,3,5,3,3,0,220.0
3800,1,1,0,1,1,40.0
1945,3,1,0,1,0,70.0
4046,2,2,1,1,0,60.0
4350,3,1,1,1,0,118.0
3359,1,2,1,0,0,85.0
2378,1,1,0,1,1,33.0
15000,4,3,1,7,0,572.0
9435,1,1,0,2,1,61.0
15333,4,4,4,3,0,243.0
18700,3,4,2,3,1,150.0
3194,1,1,0,1,0,55.0
6300,2,1,0,2,1,122.0
8841,1,1,0,1,1,33.0
4320,1,2,0,8,0,421.0
2510,3,2,1,1,0,83.0
1100,2,1,0,0,0,40.0
58478,4,1,4,3,0,494.0
3830,2,2,1,1,1,65.0
1120,1,1,0,0,1,30.0
4040,1,1,1,1,0,45.0
4610,1,1,1,1,1,52.0
6404,3,2,1,2,0,97.0
6200,2,1,1,1,1,55.0
13148,4,3,2,3,0,190.0
1000,1,1,0,0,0,23.0
5600,1,1,0,1,1,35.0
3700,1,1,1,1,1,38.0
2750,1,1,1,1,1,30.0
6800,2,2,1,2,0,78.0
3283,1,1,1,1,1,30.0
1665,1,1,0,0,0,35.0
5500,3,3,1,1,1,147.0
2670,1,1,1,1,1,30.0
9060,4,4,3,4,0,160.0
4285,1,1,0,1,0,41.0
3700,1,1,1,1,1,34.0
1401,1,1,0,0,0,39.0
4945,2,1,0,1,0,35.0
5000,1,1,0,1,1,40.0
1750,2,2,1,0,0,70.0
10450,3,1,1,1,1,178.0
3073,1,1,1,1,1,35.0
30000,1,1,1,2,0,360.0
14000,4,4,1,3,0,207.0
7000,3,4,1,2,1,120.0
